Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,PackSize,Year,Month,Week,date,BrCatId,SalesValue,Volume,VolumeUnits,D1,D2,D3,D4,D5,D6,AV1,AV2,AV3,AV4,AV5,AV6,EV1,EV2,EV3,EV4,EV5,EV6,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,8,35,28-08-2021,Brand,1724.10376,234.7130609,938.8522438,13.10753989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,8,35,28-08-2021,Brand,2052.495767,704.6088515,1730.573164,14.32248305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,9,36,04-09-2021,Brand,1649.798091,223.635312,894.5412481,12.64128829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,9,36,04-09-2021,Brand,1937.927142,666.9314688,1634.875186,14.80640787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,9,37,11-09-2021,Brand,1625.643807,219.6108919,878.4435676,12.12668052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,9,37,11-09-2021,Brand,1917.252652,654.0114382,1605.493877,14.33263139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,9,38,18-09-2021,Brand,1638.080079,221.9655277,887.8621106,12.18409825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,9,38,18-09-2021,Brand,2043.194679,696.9966344,1710.610681,14.66248323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,9,39,25-09-2021,Brand,1838.920189,248.5015493,994.0061972,12.65860721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,9,39,25-09-2021,Brand,2136.582607,729.6443905,1790.074779,14.97278482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,10,40,02-10-2021,Brand,1911.891981,258.5300603,1034.120241,13.22243823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,10,40,02-10-2021,Brand,2640.364306,901.4116362,2210.242861,15.52876098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,10,41,09-10-2021,Brand,1823.338217,247.1736617,988.694647,12.92154322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,10,41,09-10-2021,Brand,2603.784385,889.3828211,2180.790297,15.42327213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,10,42,16-10-2021,Brand,1874.558327,254.8871919,1019.548768,12.85223161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
